afp,factor,mejor_lag_train,n_train,cobertura_train_pct,spearman_train,pearson_train,mutual_information_train,abs_spearman_train,indice,pais_region,ticker_elegido,moneda_local,moneda_modelo,transformacion,fx_ticker,fx_modo
Habitat,ret_IDX_LOCAL_ESTADOS_UNIDOS_S_P_500,0,1779,99.9438202247191,0.5165274018060497,0.5454426838956176,0.19357604431227493,0.5165274018060497,S&P 500,Estados Unidos,^GSPC,USD,USD,retorno_indice_moneda_local,,USD
Habitat,ret_IDX_LOCAL_ESTADOS_UNIDOS_DOW_JONES_INDUSTRIAL_AVERAGE,0,1779,99.9438202247191,0.5024667252233712,0.534984102633691,0.19236951886371845,0.5024667252233712,Dow Jones Industrial Average,Estados Unidos,^DJI,USD,USD,retorno_indice_moneda_local,,USD
Habitat,ret_IDX_LOCAL_ESTADOS_UNIDOS_NASDAQ_COMPOSITE,0,1779,99.9438202247191,0.4799092199105373,0.5265292198640718,0.16973881583967732,0.4799092199105373,Nasdaq Composite,Estados Unidos,^IXIC,USD,USD,retorno_indice_moneda_local,,USD
Habitat,ret_IDX_LOCAL_PA_SES_BAJOS_AEX,0,1779,99.9438202247191,0.47002413462276593,0.5389995892113263,0.18992611101648293,0.47002413462276593,AEX,Países Bajos,^AEX,EUR,EUR,retorno_indice_moneda_local,EURUSD=X,DIRECTO
Habitat,ret_IDX_LOCAL_EUROPA_STOXX_EUROPE_600,0,1779,99.9438202247191,0.4681608681688038,0.5481485502260426,0.18753244354607101,0.4681608681688038,STOXX Europe 600,Europa,^STOXX,EUR,EUR,retorno_indice_moneda_local,EURUSD=X,DIRECTO
Habitat,ret_IDX_LOCAL_ALEMANIA_MDAX,0,1779,99.9438202247191,0.46727708251691397,0.5277096704597418,0.15262589598875298,0.46727708251691397,MDAX,Alemania,^MDAXI,EUR,EUR,retorno_indice_moneda_local,EURUSD=X,DIRECTO
Habitat,ret_IDX_LOCAL_ESTADOS_UNIDOS_RUSSELL_2000,0,1779,99.9438202247191,0.4620857841688268,0.5076361396340922,0.2103510844352554,0.4620857841688268,Russell 2000,Estados Unidos,^RUT,USD,USD,retorno_indice_moneda_local,,USD
Habitat,ret_IDX_LOCAL_ZONA_EURO_EURO_STOXX_50,0,1779,99.9438202247191,0.45346267395602635,0.5331197661637361,0.16334873755456325,0.45346267395602635,EURO STOXX 50,Zona euro,^STOXX50E,EUR,EUR,retorno_indice_moneda_local,EURUSD=X,DIRECTO
Habitat,ret_IDX_LOCAL_ESTADOS_UNIDOS_NASDAQ_100,0,1779,99.9438202247191,0.4531708106854911,0.5026856614108715,0.12948045029823252,0.4531708106854911,Nasdaq 100,Estados Unidos,^NDX,USD,USD,retorno_indice_moneda_local,,USD
Habitat,ret_IDX_LOCAL_FRANCIA_CAC_40,0,1779,99.9438202247191,0.45058967359703234,0.5313537671449259,0.17989071950905267,0.45058967359703234,CAC 40,Francia,^FCHI,EUR,EUR,retorno_indice_moneda_local,EURUSD=X,DIRECTO
Habitat,ret_IDX_LOCAL_CANAD_S_P_TSX_COMPOSITE,0,1779,99.9438202247191,0.44904265879262795,0.5021771256306478,0.14679003162770332,0.44904265879262795,S&P/TSX Composite,Canadá,^GSPTSE,CAD,CAD,retorno_indice_moneda_local,CAD=X,INVERSO
Habitat,ret_IDX_LOCAL_ALEMANIA_DAX,0,1779,99.9438202247191,0.4448417799011281,0.5210640337932843,0.1454528825984145,0.4448417799011281,DAX,Alemania,^GDAXI,EUR,EUR,retorno_indice_moneda_local,EURUSD=X,DIRECTO
Habitat,ret_IDX_LOCAL_REINO_UNIDO_FTSE_100,0,1779,99.9438202247191,0.4342975700269439,0.5069528496795902,0.1440821651982125,0.4342975700269439,FTSE 100,Reino Unido,^FTSE,GBP,GBP,retorno_indice_moneda_local,GBPUSD=X,DIRECTO
Habitat,ret_IDX_LOCAL_SUIZA_SMI,0,1779,99.9438202247191,0.3999040627677273,0.43778763731377635,0.12202121324409454,0.3999040627677273,SMI,Suiza,^SSMI,CHF,CHF,retorno_indice_moneda_local,CHF=X,INVERSO
Habitat,ret_IDX_LOCAL_HONG_KONG_HANG_SENG,0,1779,99.9438202247191,0.396991665593018,0.4362002882980292,0.11825702900985213,0.396991665593018,Hang Seng,Hong Kong,^HSI,HKD,HKD,retorno_indice_moneda_local,HKD=X,INVERSO
Habitat,ret_IDX_LOCAL_ESPA_A_IBEX_35,0,1779,99.9438202247191,0.3911044820372243,0.4835890012157321,0.11706177022335851,0.3911044820372243,IBEX 35,España,^IBEX,EUR,EUR,retorno_indice_moneda_local,EURUSD=X,DIRECTO
